Índice,Fecha,Equipo Local,Resultado,Equipo Visitante,Marcador,Tipo,Cómo,Competición,Camiseta,Minuto,Video
330,10-02-2013,FC Barcelona,6-1,Getafe,2-0,,Pie izquierdo,La Liga,10,13,
329,03-02-2013,Valencia,1-1,FC Barcelona,1-1,Penal,Pie izquierdo,La Liga,10,39,
328,27-01-2013,FC Barcelona,5-1,Osasuna,5-1,,Pie izquierdo,La Liga,10,58,
327,27-01-2013,FC Barcelona,5-1,Osasuna,4-1,,Pie izquierdo,La Liga,10,56,
326,27-01-2013,FC Barcelona,5-1,Osasuna,2-1,Penal,Pie izquierdo,La Liga,10,28,
325,27-01-2013,FC Barcelona,5-1,Osasuna,1-0,,Pie derecho,La Liga,10,11,
324,24-01-2013,Málaga,2-4,FC Barcelona,2-4,,Cabeza,Copa del Rey,10,80,
323,19-01-2013,Real Sociedad,3-2,FC Barcelona,0-1,,Pie izquierdo,La Liga,10,7,
322,16-01-2013,FC Barcelona,2-2,Málaga,1-1,,Pie izquierdo,Copa del Rey,10,29,
321,13-01-2013,Málaga,1-3,FC Barcelona,0-1,,Pie derecho,La Liga,10,27,
320,06-01-2013,FC Barcelona,4-0,Espanyol,4-0,Penal,Pie izquierdo,La Liga,10,29,
319,22-12-2012,Real Valladolid,1-3,FC Barcelona,0-2,,Pie izquierdo,La Liga,10,59,
318,16-12-2012,FC Barcelona,4-1,Atlético Madrid,4-1,,Pie izquierdo,La Liga,10,88,
317,16-12-2012,FC Barcelona,4-1,Atlético Madrid,3-1,,Pie izquierdo,La Liga,10,57,
316,12-12-2012,Córdoba,0-2,FC Barcelona,0-2,,Pie izquierdo,Copa del Rey,10,74,
315,12-12-2012,Córdoba,0-2,FC Barcelona,0-1,,Pie izquierdo,Copa del Rey,10,11,
314,09-12-2012,Real Betis,1-2,FC Barcelona,0-2,,Pie izquierdo,La Liga,10,25,
313,09-12-2012,Real Betis,1-2,FC Barcelona,0-1,,Pie izquierdo,La Liga,10,16,
312,01-12-2012,FC Barcelona,5-1,Athletic de Bilbao,5-1,,Pie derecho,La Liga,10,70,
311,01-12-2012,FC Barcelona,5-1,Athletic de Bilbao,2-0,,Pie izquierdo,La Liga,10,25,
310,25-11-2012,Levante,0-4,FC Barcelona,0-2,,Pie izquierdo,La Liga,10,52,
309,25-11-2012,Levante,0-4,FC Barcelona,0-1,,Pie izquierdo,La Liga,10,47,
308,20-11-2012,Spartak Moscow,0-3,FC Barcelona,0-3,,Pie izquierdo,UEFA Champions League,10,39,
307,20-11-2012,Spartak Moscow,0-3,FC Barcelona,0-2,Rebote,Pie derecho,UEFA Champions League,10,27,
306,17-11-2012,FC Barcelona,3-1,Real Zaragoza,3-1,,Pie izquierdo,La Liga,10,60,
305,17-11-2012,FC Barcelona,3-1,Real Zaragoza,1-0,,Pie izquierdo,La Liga,10,16,
304,11-11-2012,Real Mallorca,2-4,FC Barcelona,2-4,,Pie izquierdo,La Liga,10,70,
303,11-11-2012,Real Mallorca,2-4,FC Barcelona,0-2,,Pie izquierdo,La Liga,10,44,
302,07-11-2012,Celtic,2-1,FC Barcelona,2-1,Rebote,Pie izquierdo,UEFA Champions League,10,90+1,
301,27-10-2012,Rayo Vallecano,0-5,FC Barcelona,0-5,,Pie derecho,La Liga,10,89,
300,27-10-2012,Rayo Vallecano,0-5,FC Barcelona,0-2,,Pie izquierdo,La Liga,10,48,
299,20-10-2012,Deportivo La Coruña,4-5,FC Barcelona,3-5,,Pie izquierdo,La Liga,10,77,
298,20-10-2012,Deportivo La Coruña,4-5,FC Barcelona,2-4,,Pie derecho,La Liga,10,43,
297,20-10-2012,Deportivo La Coruña,4-5,FC Barcelona,0-3,,Pie izquierdo,La Liga,10,18,
296,17-10-2012,Chile,1-2,Argentina,0-1,,Pie izquierdo,WCQWorld Cup 2014 Qualification,10,28,
295,13-10-2012,Argentina,3-0,Uruguay,3-0,Tiro libre,Pie izquierdo,WCQWorld Cup 2014 Qualification,10,80,
294,13-10-2012,Argentina,3-0,Uruguay,1-0,,Pie derecho,WCQWorld Cup 2014 Qualification,10,65,
293,07-10-2012,FC Barcelona,2-2,Real Madrid,2-1,Tiro libre,Pie izquierdo,La Liga,10,61,
292,07-10-2012,FC Barcelona,2-2,Real Madrid,1-1,,Pie izquierdo,La Liga,10,31,
291,19-09-2012,FC Barcelona,3-2,Spartak Moscow,3-2,,Cabeza,UEFA Champions League,10,80,
290,19-09-2012,FC Barcelona,3-2,Spartak Moscow,2-2,,Pie izquierdo,UEFA Champions League,10,71,
289,15-09-2012,Getafe,1-4,FC Barcelona,0-3,,Pie izquierdo,La Liga,10,78,
288,15-09-2012,Getafe,1-4,FC Barcelona,0-2,Penal,Pie izquierdo,La Liga,10,74,
287,08-09-2012,Argentina,3-1,Paraguay,3-1,Tiro libre,Pie izquierdo,WCQWorld Cup 2014 Qualification,10,63,
286,29-08-2012,Real Madrid,2-1,FC Barcelona,2-1,Tiro libre,Pie izquierdo,SUPSpanish Super Cup,10,45,
285,26-08-2012,Osasuna,1-2,FC Barcelona,1-2,,Pie izquierdo,La Liga,10,80,
284,26-08-2012,Osasuna,1-2,FC Barcelona,1-1,,Pie izquierdo,La Liga,10,76,
283,23-08-2012,FC Barcelona,3-2,Real Madrid,2-1,Penal,Pie izquierdo,SUPSpanish Super Cup,10,70,
282,19-08-2012,FC Barcelona,5-1,Real Sociedad,3-1,,Pie izquierdo,La Liga,10,16,
281,19-08-2012,FC Barcelona,5-1,Real Sociedad,2-1,,Pie izquierdo,La Liga,10,11,
280,15-08-2012,Germany,1-3,Argentina,0-2,,Pie izquierdo,Amistoso Internacional,10,52,
279,09-06-2012,Argentina,4-3,Brazil,4-3,Solo run,Pie izquierdo,Amistoso Internacional,10,85,
278,09-06-2012,Argentina,4-3,Brazil,2-1,,Pie izquierdo,Amistoso Internacional,10,35,
277,09-06-2012,Argentina,4-3,Brazil,1-1,,Pie izquierdo,Amistoso Internacional,10,31,
276,03-06-2012,Argentina,4-0,Ecuador,3-0,Gol de campo,Pie izquierdo,WCQWorld Cup 2014 Qualification,10,31,
275,25-05-2012,Athletic de Bilbao,0-3,FC Barcelona,0-2,,Pie derecho,Copa del Rey,10,20,
274,05-05-2012,FC Barcelona,4-0,Espanyol,4-0,Penal,Pie izquierdo,La Liga,10,79,
273,05-05-2012,FC Barcelona,4-0,Espanyol,3-0,,Pie izquierdo,La Liga,10,74,
272,05-05-2012,FC Barcelona,4-0,Espanyol,2-0,Penal,Pie izquierdo,La Liga,10,64,
271,05-05-2012,FC Barcelona,4-0,Espanyol,1-0,Tiro libre,Pie izquierdo,La Liga,10,12,
270,02-05-2012,FC Barcelona,4-1,Málaga,4-1,,Pie izquierdo,La Liga,10,64,
269,02-05-2012,FC Barcelona,4-1,Málaga,3-1,Penal,Pie izquierdo,La Liga,10,59,
268,02-05-2012,FC Barcelona,4-1,Málaga,2-1,Penal,Pie izquierdo,La Liga,10,35,
267,29-04-2012,Rayo Vallecano,0-7,FC Barcelona,0-7,,Pie izquierdo,La Liga,10,90,
266,29-04-2012,Rayo Vallecano,0-7,FC Barcelona,0-1,,Pie izquierdo,La Liga,10,16,
265,14-04-2012,Levante,1-2,FC Barcelona,1-2,Penal,Pie izquierdo,La Liga,10,72,
264,14-04-2012,Levante,1-2,FC Barcelona,1-1,Gol de campo,Pie izquierdo,La Liga,10,64,
263,10-04-2012,FC Barcelona,4-0,Getafe,2-0,,Pie izquierdo,La Liga,10,44,
262,07-04-2012,Real Zaragoza,1-4,FC Barcelona,1-3,Penal,Pie izquierdo,La Liga,10,86,
261,07-04-2012,Real Zaragoza,1-4,FC Barcelona,1-2,,Pie izquierdo,La Liga,10,39,
